date,D,H,H2,H3,H4,SinD,CosD,T
1993-12-28,1.910000000000001,67.75999999999999,4591.417599999999,311114.45657599985,21081115.57758975,-0.05,1.0,718
1994-01-10,-0.5399999999999991,74.55,5557.702499999999,414326.72137499996,30888057.078506246,0.17,0.99,731
1994-01-24,-0.9599999999999991,72.03,5188.3209,373714.754427,26918673.761376813,0.4,0.92,745
1994-02-07,-1.2399999999999984,71.75,5148.0625,369373.484375,26502547.50390625,0.61,0.79,759
1994-02-21,-0.9599999999999991,68.88,4744.4544,326798.01907199994,22509847.553679354,0.78,0.63,773
1994-03-07,-0.8899999999999988,70.77,5008.3929,354443.96553299995,25083999.440770403,0.91,0.42,787
1994-03-21,-0.049999999999998934,70.77,5008.3929,354443.96553299995,25083999.440770403,0.98,0.19,801
1994-04-05,-0.6799999999999997,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,1.0,-0.06,816
1994-04-18,-0.9599999999999991,74.69,5578.5961,416665.342709,31120734.446935207,0.96,-0.28,829
1994-04-28,-3.2699999999999996,76.3,5821.69,444194.9469999999,33892074.456099994,0.9,-0.44,839
1994-05-16,-1.5410000000000004,75.94999999999999,5768.402499999998,438110.1698749998,33274467.40200623,0.72,-0.7,857
1994-05-30,-1.0999999999999996,74.55,5557.702499999999,414326.72137499996,30888057.078506246,0.53,-0.85,871
1994-06-13,2.0500000000000007,72.94,5320.2436,388058.568184,28304991.963340957,0.31,-0.95,885
1994-06-27,3.7300000000000004,72.24,5218.6176,376992.9354239999,27233969.65502975,0.08,-1.0,899
1994-07-11,6.25,69.02,4763.760399999999,328794.74280799995,22693413.148608156,-0.16,-0.99,913
1994-07-25,9.54,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-0.39,-0.92,927
1994-08-08,9.68,67.27,4525.2528999999995,304413.76258299995,20477913.808958404,-0.6,-0.8,941
1994-08-22,9.89,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,-0.77,-0.63,955
1994-09-05,10.45,67.34,4534.6756000000005,305365.054904,20563282.797235366,-0.9,-0.43,969
1994-09-19,8.91,66.99,4487.660099999999,300628.3500989999,20139093.173132002,-0.98,-0.2,983
1994-10-03,9.05,65.03,4228.900900000001,275005.42552700004,17883602.82202081,-1.0,0.04,997
1994-10-17,10.24,61.04,3725.8815999999997,227427.81286399998,13882193.69721856,-0.96,0.28,1011
1994-10-31,9.54,58.51999999999999,3424.5903999999987,200407.0302079999,11727819.407772152,-0.87,0.5,1025
1994-11-15,6.04,66.08,4366.5664,288542.707712,19066902.12560896,-0.71,0.7,1040
